"UserID","Date","Bets","Stake","Winnings"
1324354,2005-05-04,1,51.03,61.24
1324354,2005-05-05,2,112.4,82.4
1324354,2005-05-08,2,80,0
1324354,2005-05-09,1,50,175
1324354,2005-05-12,1,40,43.2
1324354,2005-05-14,10,339.73,131.5
1324354,2005-05-15,4,50,39.43
1324354,2005-05-18,1,79.8,83.79
1324354,2005-08-12,2,100,125
1324354,2005-08-14,1,145,176.9
1324354,2005-08-17,6,392.62,342.62
1324354,2005-08-20,1,102.63,123.16
1324354,2005-08-21,2,120,69
1324354,2005-08-23,4,60,30
1324354,2005-09-07,1,15,29.25
1324354,2005-09-11,1,36.07,0
1324354,2005-09-21,1,5,0
1324354,2005-09-26,2,60,0
1324354,2006-04-25,2,50,70
1324354,2006-04-27,1,19,0
1324354,2006-04-28,3,24,30.6
1324354,2006-05-07,2,10,0
1324354,2006-05-09,2,35,0
1324354,2006-05-10,1,10,50
1324354,2006-05-11,3,40,43.2
1324354,2006-05-12,1,10,0
1324354,2006-05-13,1,10,0
1324354,2006-06-09,2,15,15
1324354,2006-06-11,2,9,13.61
1324354,2006-06-14,2,30.5,52.5
1324354,2006-06-17,4,29.69,22.55
1324354,2006-06-18,1,10,0
1324354,2006-06-20,1,5,0
1324354,2006-09-05,4,68,59.6
1324354,2006-09-06,1,20,0
1324354,2006-10-11,2,10,0
1324355,2005-02-01,2,2,0
1324355,2005-02-02,7,6.7,11.2
1324355,2005-02-03,5,6,0
1324355,2005-02-04,1,6,0
1324355,2005-02-05,4,3,0
1324355,2005-02-06,1,0.5,0
1324355,2005-02-07,1,0.5,0
1324356,2005-02-02,2,1,0
1324356,2005-02-12,2,1,0
1324356,2005-02-13,3,1.5,2.83
1324356,2005-02-20,4,2,0
1324356,2005-02-21,0,0,2.24
1324356,2005-02-25,1,0.5,0.78
1324356,2005-02-27,1,1,0
1324356,2005-03-02,6,3.5,2.75
1324356,2005-03-11,1,5,12.5
1324356,2005-03-12,28,64.47,44.07
1324356,2005-03-13,2,2,0
1324356,2005-03-27,1,0.55,0.91
1324356,2005-04-01,1,0.5,0
1324356,2005-08-13,1,2,0
1324356,2005-08-14,8,7.18,2.56
1324356,2005-08-15,8,125.38,121.48
1324356,2005-08-30,3,49.77,43.1
1324356,2005-09-01,6,90.75,123.25
1324356,2005-09-02,5,17.8,15.36
1324356,2005-09-03,4,5.66,1.1
1324356,2005-09-04,6,30.87,31.68
1324356,2005-09-09,14,140.8,128.04
1324356,2005-09-10,7,124.84,91.6
1324356,2005-09-11,2,1,0.9
1324356,2005-11-05,1,3,0
1324356,2005-12-11,6,8.75,6.4
1324356,2005-12-12,0,0,6.22
1324356,2006-03-25,2,6,0
1324356,2006-08-25,1,5,11.5
1324356,2006-09-16,3,400,300
1324358,2005-05-03,4,88.5927,55.9819
1324360,2005-02-12,2,1.1547,1.2009
1324360,2005-09-21,1,0.5887,0
1324360,2005-10-30,4,4.3025,1.8519
1324360,2005-11-02,1,0.6182,0
1324362,2006-02-16,1,1,0
1324362,2006-06-09,3,5,3.5
1324362,2006-06-11,3,3,23
1324364,2005-02-03,2,40,0
1324364,2005-02-04,8,48,0
1324364,2005-02-05,9,48,0
1324364,2005-02-14,1,5,0
1324364,2005-02-19,3,13,0
1324364,2005-03-16,1,3,0
1324364,2005-08-21,4,14,12.4
1324364,2005-08-22,1,3,0
1324364,2005-08-25,4,22,27.75
1324364,2005-09-02,1,5,0
1324364,2005-09-06,1,5,0
1324364,2005-09-28,2,4,0
1324364,2005-10-08,1,5,0
1324364,2005-10-30,2,9,0
1324364,2005-11-01,5,26,11
1324364,2006-03-11,1,5,0
1324364,2006-04-22,2,15,22
1324364,2006-05-30,1,5,0
1324364,2006-06-12,3,10,12
1324364,2006-06-13,1,3,0
1324364,2006-06-14,1,3,0
1324364,2006-06-16,1,4,0
1324364,2006-06-17,2,5,10.5
1324364,2006-06-19,2,4,0
1324364,2006-06-20,1,2,0
1324364,2006-06-22,3,6,0
1324364,2006-06-23,4,5,0
1324364,2006-06-25,3,3,0
1324364,2007-02-01,1,20,34
1324368,2005-03-31,8,58.86,49.76
1324368,2005-04-01,3,16.8,26.88
1324368,2005-04-02,9,56.75,90.75
1324368,2005-04-03,4,47,17
1324368,2005-04-05,3,12,0
1324368,2005-04-06,12,71.35,73.59
1324368,2005-04-07,3,30,56
1324368,2005-04-08,16,201,119
1324368,2005-04-09,6,135,165.05
1324368,2005-04-10,16,266,248.5
1324368,2005-04-11,10,81.43,91.67
1324368,2005-04-12,2,17.5,0
1324368,2005-04-13,6,60.35,61.85
1324368,2005-04-15,5,28.7,58.11
1324368,2005-04-17,2,18,28
1324368,2005-04-18,3,28,40
1324368,2005-04-19,4,41.77,0
1324368,2005-04-20,6,101.55,162.74
1324368,2005-04-21,4,33.24,32.38
1324368,2005-04-22,2,26.14,16.34
1324368,2005-04-23,4,101.65,117.59
1324368,2005-04-27,4,106.91,157.62
1324368,2005-04-28,2,44.12,44.93
1324368,2005-04-29,8,185.92,146.14
1324368,2005-04-30,12,486.93,807.55
1324368,2005-05-01,9,317.68,512.95
1324368,2005-05-02,3,188,112.5
1324368,2005-05-03,4,155.15,42
1324368,2005-05-04,2,100,146.4
1324368,2005-05-05,2,150,0
1324368,2005-05-06,10,354.5,354.5
1324368,2005-05-07,8,141.5,47
1324368,2005-05-09,2,6,9
1324368,2005-05-12,1,2,0
1324368,2005-05-13,2,19.94,39.95
1324368,2005-05-14,5,38.72,53.46
1324368,2005-05-15,5,105.64,0
1324368,2005-05-19,1,5,0
1324368,2005-05-23,1,0.72,0.72
1324368,2005-05-24,1,5,9.5
1324368,2005-06-22,5,53.8,79.8
1324368,2005-06-23,11,114.1,155.27
1324368,2005-06-24,4,153.39,111.86
1324368,2005-06-26,3,45,48
1324368,2005-06-28,9,170,206.5
1324368,2005-06-29,15,327,327.5
1324368,2005-06-30,10,237,253.8
1324368,2005-07-01,9,115.45,144.57
1324368,2005-07-02,4,92,164.25
1324368,2005-07-03,9,217.92,146.6
1324368,2005-07-04,1,5,13.13
1324368,2005-07-05,1,3,0
1324368,2005-07-06,2,15,0
1324368,2005-07-15,2,14,24.24
1324368,2005-07-16,11,231.5,185.5
1324368,2005-07-17,4,280.8,140
1324368,2005-08-06,4,34.2,19.04
1324368,2005-08-19,2,20,35.5
1324368,2005-08-20,8,75.3,59.85
1324368,2005-08-21,4,35,20
1324368,2005-12-02,1,10,0
1324368,2005-12-06,2,10,0
1324368,2005-12-21,5,27.5,31.5
1324368,2005-12-22,3,16.6,18.28
1324368,2005-12-24,5,34.99,20
1324368,2006-01-01,1,5,0
1324368,2006-01-02,1,5,0
1324368,2006-02-01,1,7.2,0
1324369,2005-02-01,4,6.351,2.3672
1324369,2005-02-02,2,1.1547,2.0496
1324369,2005-02-03,7,4.9365,2.3671
1324369,2005-02-04,3,4.0416,15.5889
1324369,2005-02-05,3,1.7321,3.6663
1324369,2005-02-06,10,16.1086,6.6687
1324369,2005-02-09,9,18.0946,20.3925
1324369,2005-02-10,5,19.9884,3.8221
1324369,2005-02-11,3,2.8868,0
1324369,2005-02-12,1,2.3095,3.8107
1324369,2005-02-15,3,2.0785,1.7552
1324369,2005-02-16,1,0.5774,0
1324369,2005-02-18,6,10.3926,6.6108
1324369,2005-02-20,9,5.1963,5.1674
1324369,2005-02-21,3,1.7321,3.0023
1324369,2005-02-23,2,4.873,0
1324369,2005-02-24,3,2.3095,2.8869
1324369,2005-02-25,2,2.3095,4.1571
1324369,2005-02-26,1,0.6928,0
1324369,2005-02-27,2,1.5878,0
1324369,2005-02-28,6,6.784,7.7944
1324369,2005-03-01,1,1.0324,0
1324369,2005-03-02,1,1.3746,2.4743
1324369,2005-03-03,1,1.2979,1.9469
1324369,2005-03-21,2,2.5723,2.2183
1324369,2005-03-23,4,6.4897,4.9263
1324369,2005-03-25,5,2.9499,5.2213
1324369,2005-03-26,3,1.7699,0
1324369,2005-03-27,0,0,1.4749
1324369,2005-03-28,1,1.0029,0
1324369,2005-03-29,2,3.1268,2.3009
1324369,2005-03-30,0,0,1.8319
1324369,2005-03-31,1,0.59,0
1324369,2005-04-02,1,0.5724,0.8014
1324369,2005-05-02,1,1.7647,0
1324369,2005-05-03,3,5.7255,2.8059
1324369,2005-05-04,1,0.958,1.1975
1324369,2005-12-15,1,6.2555,7.5066
1324369,2005-12-17,3,3.722,2.0018
1324369,2005-12-18,13,23.3954,6.1304
1324369,2005-12-20,2,7.2563,0
1324369,2005-12-21,4,4.3782,0
1324369,2005-12-22,0,0,3.2528
1324369,2005-12-24,1,1.1385,2.4478
1324369,2005-12-26,4,7.6338,2.4373
1324369,2005-12-27,0,0,3.8996
1324369,2005-12-30,3,18.7664,16.2642
1324369,2006-01-01,1,1.2516,0
1324369,2006-01-03,1,4.4681,9.6058
1324369,2006-01-04,4,8.2637,0
1324369,2006-01-08,2,3.1289,2.9412
1324369,2006-01-09,4,10.8886,8.8798
1324369,2006-01-11,4,10.5946,19.6183
1324369,2006-01-15,1,6.2578,9.3867
1324369,2006-01-17,3,81.3517,62.5782
1324369,2006-01-20,2,53.811,80.9699
1324369,2006-01-21,7,18.7783,15.9386
1324369,2006-02-20,1,12.4766,29.32
1324369,2006-02-23,1,3.1192,0
1324369,2006-02-26,4,17.093,0
1324369,2006-03-05,4,4.4563,15.8517
1324369,2006-04-06,11,134.3921,104.6229
1324369,2006-04-09,14,216.0358,168.021
1324369,2006-04-10,3,92.3361,108.1871
1324369,2006-04-12,1,1.2311,0
1324369,2006-04-13,2,4.0012,2.7701
1324369,2006-06-11,3,10.0427,13.9342
1324369,2006-06-16,3,12.0512,10.8963
1324369,2006-06-21,1,0.8285,0
1324369,2006-07-04,2,7.4386,20.5554
1324369,2006-07-05,1,9.9182,17.8527
1324369,2007-01-01,1,2.6824,0
1324369,2007-01-02,1,1.4324,6.4485
1324369,2007-01-06,5,11.5987,5.1449
1324372,2005-03-04,18,15.2206,12.6254
1324372,2005-03-05,28,20.5092,24.8173
1324372,2005-03-06,15,9.9063,6.9112
1324372,2005-03-08,12,13.1569,10.7061
1324372,2005-03-09,5,3.6116,5.1956
1324372,2005-03-10,5,4.6436,5.1983
1324372,2005-03-11,3,2.3218,1.3931
1324372,2005-03-12,11,8.2551,11.0155
1324372,2005-03-13,15,11.3508,10.332
1324372,2005-03-14,7,13.6727,6.8622
1324372,2005-03-15,7,6.7074,3.947
1324372,2005-03-17,2,1.032,1.1867
1324372,2005-03-19,28,28.8574,28.8755
1324372,2005-03-20,9,7.8554,8.3611
1324372,2005-03-21,1,0.5908,0
1324372,2005-03-23,4,2.6262,2.1954
1324372,2005-03-24,1,0.6604,0
1324372,2005-03-25,7,6.2817,5.0615
1324372,2005-03-26,4,3.8619,3.9213
1324372,2005-08-18,2,1.4786,0.8502
1324372,2005-08-19,1,1.725,2.3287
1324372,2005-08-20,4,4.9284,2.8461
1324372,2005-08-21,3,3.6964,6.0375
1324372,2005-08-27,1,2.9571,0
1324372,2005-08-28,2,1.4786,0
1324372,2005-09-06,1,12.5562,13.5607
1324372,2005-09-11,1,12.5562,0
1324372,2005-11-02,1,1.0078,1.2598
1324372,2005-11-03,1,0.5039,0
1324372,2006-03-19,1,0.5298,0.8742
1324372,2006-04-04,1,0.5109,0
1324372,2006-04-07,1,2.5547,3.0656
1324372,2006-04-09,2,1.0218,1.5225
1324372,2006-04-15,1,0.5109,0.7919
1324372,2006-04-16,1,0.7664,1.073
1324372,2006-04-18,2,2.5548,3.1934
1324372,2006-04-21,1,1.2774,1.5329
1324372,2006-04-25,1,1.2774,1.6606
1324372,2006-04-28,1,1.7883,0
1324372,2006-05-07,1,0.7782,0
1324372,2006-05-17,1,25.941,28.5351
1324372,2006-06-18,1,2.5392,0
1324372,2006-08-20,1,0.6208,1.117
1324372,2006-11-05,3,18.1192,13.8223
1324372,2006-11-06,2,10.3538,6.2123
1324372,2006-11-07,1,0.9809,0.9914
1324372,2006-11-12,3,1.5531,0
1324372,2007-02-04,1,134.6223,0
1324377,2005-02-03,4,6.7201,0
1324377,2006-06-04,1,1.3408,0
1324377,2006-09-10,7,12.0645,2.815
1324377,2006-09-12,2,2.8151,0
1324377,2006-12-10,2,4.0245,5.2319
1324377,2006-12-15,6,13.683,2.683
1324377,2006-12-16,1,9.6589,9.6589
1324377,2007-01-11,3,22.8004,30.1502
1324377,2007-01-14,11,50.5633,63.9914
1324377,2007-01-15,5,9.9249,13.2511
1324377,2007-01-16,2,3.353,0
1324378,2005-02-02,3,6,0
1324378,2005-02-20,1,5,0
1324378,2006-06-10,2,11,0
1324378,2006-06-23,1,0.5,1.13
1324378,2006-06-27,1,5,0
1324379,2005-04-03,1,1,0
1324379,2005-04-14,1,10,20
1324379,2005-05-14,1,20,24
1324379,2005-06-10,1,1,0
1324379,2005-06-11,2,4,0
1324379,2005-06-12,7,18,29.45
1324379,2005-06-15,4,11,4.5
1324379,2005-06-17,7,33,8.75
1324379,2005-06-18,4,7,5.7
1324379,2005-06-19,1,3,0
1324379,2005-06-20,15,29.2,33.24
1324379,2005-06-21,4,9,12.95
1324379,2005-06-22,10,28,42.6
1324379,2005-06-23,2,6,7.21
1324379,2005-06-24,3,11,16.43
1324379,2005-06-25,13,59,99.03
1324379,2005-06-26,12,45,69.98
1324379,2005-06-29,10,43,52.85
1324379,2005-06-30,10,47,38.6
1324379,2005-07-01,12,62,0
1324379,2005-07-02,18,83,66.9
1324379,2005-07-03,10,46,36.5
1324379,2005-07-05,5,15,9
1324379,2005-07-07,18,124,49
1324379,2005-07-08,2,3.6,3.06
1324379,2005-07-10,1,0.0729,0
1324379,2005-07-12,1,10,0
1324379,2005-07-13,4,11,20.26
1324379,2005-07-14,8,27,15.75
1324379,2005-07-15,3,7,0
1324379,2005-07-16,18,64,90.5
1324379,2005-07-17,1,4,9
1324379,2005-07-18,33,134,182.29
1324379,2005-07-19,22,82,73.5
1324379,2005-07-21,13,70,48.9
1324379,2005-07-22,11,56,52.5
1324379,2005-07-23,34,156,200.01
1324379,2005-07-24,17,75,49
1324379,2005-07-25,2,6,14.55
1324379,2005-07-26,13,58,127.57
1324379,2005-07-27,10,41,41
1324379,2005-07-28,19,95,109.45
1324379,2005-07-29,6,29,44.2
1324379,2005-07-30,12,88,41.5
1324379,2005-07-31,8,40,6
1324379,2005-08-02,2,13,21.75
1324379,2005-08-03,5,21.4,7.65
1324379,2005-08-04,1,3,0
1324379,2005-08-05,4,14,22.65
1324379,2005-08-06,8,18,11.55
1324379,2005-08-07,4,21.84,0
1324379,2005-08-10,4,21,46.5
1324379,2005-08-11,9,26,21.91
